,year_month,year,month_num,month,no_of_rainy_days,maximum_rainfall_in_a_day,total_rainfall,mean_rh,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,max_temperature,temp_extremes_min,temp_mean_daily_max,temp_mean_daily_min
0,1982-01,1982,1,Jan,10,36.5,107.1,81.2,49,5.6,25.9,31.9,21.9,29.8,23.3
1,1982-02,1982,2,Feb,5,9.4,27.8,79.5,49,7.6,27.1,34.3,22.6,32.3,23.9
2,1982-03,1982,3,Mar,11,61.7,160.8,82.3,51,5.1,27.2,34.3,22.3,31.7,24.3
3,1982-04,1982,4,Apr,14,45.1,157.0,85.9,54,4.7,27.0,33.2,22.2,31.4,24.3
4,1982-05,1982,5,May,10,33.0,102.2,83.2,57,5.8,28.0,32.9,23.7,31.7,25.2
5,1982-06,1982,6,Jun,8,20.6,59.5,80.3,53,7.3,28.4,33.3,23.1,31.9,26.0
6,1982-07,1982,7,Jul,8,17.2,76.3,77.6,38,7.6,28.2,33.0,22.1,31.6,25.5
7,1982-08,1982,8,Aug,11,57.7,169.5,80.4,52,5.4,27.7,33.2,21.9,31.1,25.0
8,1982-09,1982,9,Sep,9,18.0,54.1,80.6,49,5.2,27.9,33.2,23.5,31.4,25.3
9,1982-10,1982,10,Oct,10,10.0,39.3,81.5,49,5.6,27.4,33.8,22.6,32.1,24.3
10,1982-11,1982,11,Nov,13,39.6,134.0,83.4,47,5.8,27.3,34.3,23.1,32.4,24.5
11,1982-12,1982,12,Dec,21,109.0,494.1,87.7,56,3.3,26.2,33.0,22.8,29.9,23.9
12,1983-01,1983,1,Jan,18,43.2,246.0,85.6,53,4.3,26.5,32.1,23.0,30.3,24.0
13,1983-02,1983,2,Feb,2,5.1,5.6,78.0,41,9.3,28.1,34.6,23.1,33.1,24.8
14,1983-03,1983,3,Mar,2,18.3,18.6,76.0,40,8.9,28.9,35.8,24.3,34.4,25.4
15,1983-04,1983,4,Apr,4,21.3,33.6,77.2,39,6.6,29.4,35.8,23.5,34.3,26.3
16,1983-05,1983,5,May,11,32.3,160.8,83.2,58,5.9,28.3,34.0,23.5,32.5,25.2
17,1983-06,1983,6,Jun,11,27.7,94.0,82.4,51,5.9,28.3,33.6,21.3,31.9,25.3
18,1983-07,1983,7,Jul,18,55.5,190.0,83.7,54,5.4,27.6,33.0,21.4,31.0,24.9
19,1983-08,1983,8,Aug,10,181.8,262.2,81.2,44,6.3,28.1,32.7,22.1,31.5,25.6
20,1983-09,1983,9,Sep,18,50.3,170.8,84.4,55,3.8,27.2,32.8,22.4,31.1,24.6
21,1983-10,1983,10,Oct,17,40.0,212.7,82.5,47,5.2,27.6,33.7,22.4,31.5,24.7
22,1983-11,1983,11,Nov,18,54.8,228.8,85.2,49,3.2,26.6,32.6,21.3,30.5,24.0
23,1983-12,1983,12,Dec,16,164.4,370.6,88.0,57,2.7,25.4,31.3,21.9,28.9,23.3
24,1984-01,1984,1,Jan,18,62.3,251.2,85.8,55,4.1,25.5,31.7,21.2,29.5,22.9
25,1984-02,1984,2,Feb,19,154.4,470.4,86.0,58,4.1,25.8,31.5,21.1,30.0,23.4
26,1984-03,1984,3,Mar,19,119.4,361.3,85.4,56,5.3,26.5,32.8,22.1,30.8,23.8
27,1984-04,1984,4,Apr,17,38.7,153.1,83.8,55,6.2,27.3,32.7,22.7,31.3,24.5
28,1984-05,1984,5,May,12,46.0,186.5,84.1,54,6.4,27.3,32.9,21.9,31.3,24.5
29,1984-06,1984,6,Jun,14,121.1,255.0,83.1,52,5.4,27.5,32.7,21.4,31.1,24.7
30,1984-07,1984,7,Jul,12,49.2,127.2,83.7,55,5.7,27.2,33.0,22.5,30.7,24.7
31,1984-08,1984,8,Aug,13,22.5,102.7,84.1,60,6.0,27.4,32.8,22.4,31.2,24.3
32,1984-09,1984,9,Sep,17,46.5,186.7,83.9,49,4.9,26.8,32.4,21.0,30.9,23.7
33,1984-10,1984,10,Oct,11,47.2,187.5,82.5,53,5.3,27.4,33.4,21.2,31.6,24.3
34,1984-11,1984,11,Nov,17,35.4,127.7,86.3,58,4.3,26.5,32.7,22.8,31.0,24.0
35,1984-12,1984,12,Dec,22,58.4,277.4,86.7,58,3.3,26.0,32.2,22.0,30.0,23.6
36,1985-01,1985,1,Jan,7,35.5,111.1,81.5,49,8.7,26.6,33.0,22.2,31.2,23.6
37,1985-02,1985,2,Feb,11,18.7,79.3,84.0,51,6.5,27.0,33.7,22.2,32.1,24.1
38,1985-03,1985,3,Mar,13,23.8,88.0,83.9,56,5.6,27.1,33.3,23.1,31.8,24.2
39,1985-04,1985,4,Apr,14,29.3,110.5,83.8,55,5.5,27.5,34.2,22.4,32.2,24.4
40,1985-05,1985,5,May,12,36.2,70.1,83.4,55,5.7,28.0,33.6,23.5,31.8,25.2
41,1985-06,1985,6,Jun,14,9.9,37.0,79.4,43,5.8,28.2,35.0,23.4,32.1,25.1
42,1985-07,1985,7,Jul,17,32.2,131.8,83.1,50,5.3,27.0,33.3,21.0,30.8,23.9
43,1985-08,1985,8,Aug,11,21.4,56.9,80.4,53,6.2,27.7,33.0,21.3,31.5,25.1
44,1985-09,1985,9,Sep,18,22.0,110.7,83.1,48,5.0,26.9,32.5,22.1,30.9,24.0
45,1985-10,1985,10,Oct,21,30.2,169.0,84.7,43,4.1,26.7,33.4,21.7,30.6,23.9
46,1985-11,1985,11,Nov,21,38.2,179.4,85.0,54,4.1,26.6,33.0,22.5,31.1,23.8
47,1985-12,1985,12,Dec,22,86.8,340.1,86.2,56,4.6,26.1,32.4,22.9,30.2,23.7
48,1986-01,1986,1,Jan,13,95.6,308.2,83.9,55,3.9,25.7,31.4,21.5,29.3,23.4
49,1986-02,1986,2,Feb,2,23.0,26.7,78.4,48,7.2,26.9,33.2,22.5,31.9,23.9
50,1986-03,1986,3,Mar,17,71.1,353.4,86.6,55,4.6,26.4,32.7,22.6,30.5,24.1
51,1986-04,1986,4,Apr,14,56.4,150.0,85.3,54,6.2,27.4,32.8,22.4,31.7,24.7
52,1986-05,1986,5,May,13,51.3,145.1,81.8,48,6.1,28.2,33.4,22.0,31.8,25.4
53,1986-06,1986,6,Jun,13,34.5,122.9,82.5,50,6.8,27.9,33.2,22.2,31.6,25.3
54,1986-07,1986,7,Jul,12,23.5,109.7,79.9,48,6.2,27.9,33.2,21.9,31.5,25.0
55,1986-08,1986,8,Aug,11,28.4,72.9,77.3,40,5.6,28.3,34.2,21.9,31.9,25.2
56,1986-09,1986,9,Sep,22,97.6,396.0,84.4,54,4.8,26.7,32.4,21.2,30.6,23.6
