year,month_num,month,rainy_days,highest_daily_rainfall,total_rainfall,mean_relative_humidity,mean_sunshine_hours,mean_temp,temp_mean_daily_max,temp_mean_daily_min
1982,1,Jan,10,36.5,107.1,81.2,5.6,25.9,29.8,23.3
1982,2,Feb,5,9.4,27.8,79.5,7.6,27.1,32.3,23.9
1982,3,Mar,11,61.7,160.8,82.3,5.1,27.2,31.7,24.3
1982,4,Apr,14,45.1,157.0,85.9,4.7,27.0,31.4,24.3
1982,5,May,10,33.0,102.2,83.2,5.8,28.0,31.7,25.2
1982,6,Jun,8,20.6,59.5,80.3,7.3,28.4,31.9,26.0
1982,7,Jul,8,17.2,76.3,77.6,7.6,28.2,31.6,25.5
1982,8,Aug,11,57.7,169.5,80.4,5.4,27.7,31.1,25.0
1982,9,Sep,9,18.0,54.1,80.6,5.2,27.9,31.4,25.3
1982,10,Oct,10,10.0,39.3,81.5,5.6,27.4,32.1,24.3
1982,11,Nov,13,39.6,134.0,83.4,5.8,27.3,32.4,24.5
1982,12,Dec,21,109.0,494.1,87.7,3.3,26.2,29.9,23.9
1983,1,Jan,18,43.2,246.0,85.6,4.3,26.5,30.3,24.0
1983,2,Feb,2,5.1,5.6,78.0,9.3,28.1,33.1,24.8
1983,3,Mar,2,18.3,18.6,76.0,8.9,28.9,34.4,25.4
1983,4,Apr,4,21.3,33.6,77.2,6.6,29.4,34.3,26.3
1983,5,May,11,32.3,160.8,83.2,5.9,28.3,32.5,25.2
1983,6,Jun,11,27.7,94.0,82.4,5.9,28.3,31.9,25.3
1983,7,Jul,18,55.5,190.0,83.7,5.4,27.6,31.0,24.9
1983,8,Aug,10,181.8,262.2,81.2,6.3,28.1,31.5,25.6
1983,9,Sep,18,50.3,170.8,84.4,3.8,27.2,31.1,24.6
1983,10,Oct,17,40.0,212.7,82.5,5.2,27.6,31.5,24.7
1983,11,Nov,18,54.8,228.8,85.2,3.2,26.6,30.5,24.0
1983,12,Dec,16,164.4,370.6,88.0,2.7,25.4,28.9,23.3
1984,1,Jan,18,62.3,251.2,85.8,4.1,25.5,29.5,22.9
1984,2,Feb,19,154.4,470.4,86.0,4.1,25.8,30.0,23.4
1984,3,Mar,19,119.4,361.3,85.4,5.3,26.5,30.8,23.8
1984,4,Apr,17,38.7,153.1,83.8,6.2,27.3,31.3,24.5
1984,5,May,12,46.0,186.5,84.1,6.4,27.3,31.3,24.5
1984,6,Jun,14,121.1,255.0,83.1,5.4,27.5,31.1,24.7
1984,7,Jul,12,49.2,127.2,83.7,5.7,27.2,30.7,24.7
1984,8,Aug,13,22.5,102.7,84.1,6.0,27.4,31.2,24.3
1984,9,Sep,17,46.5,186.7,83.9,4.9,26.8,30.9,23.7
1984,10,Oct,11,47.2,187.5,82.5,5.3,27.4,31.6,24.3
1984,11,Nov,17,35.4,127.7,86.3,4.3,26.5,31.0,24.0
1984,12,Dec,22,58.4,277.4,86.7,3.3,26.0,30.0,23.6
1985,1,Jan,7,35.5,111.1,81.5,8.7,26.6,31.2,23.6
1985,2,Feb,11,18.7,79.3,84.0,6.5,27.0,32.1,24.1
1985,3,Mar,13,23.8,88.0,83.9,5.6,27.1,31.8,24.2
1985,4,Apr,14,29.3,110.5,83.8,5.5,27.5,32.2,24.4
1985,5,May,12,36.2,70.1,83.4,5.7,28.0,31.8,25.2
1985,6,Jun,14,9.9,37.0,79.4,5.8,28.2,32.1,25.1
1985,7,Jul,17,32.2,131.8,83.1,5.3,27.0,30.8,23.9
1985,8,Aug,11,21.4,56.9,80.4,6.2,27.7,31.5,25.1
1985,9,Sep,18,22.0,110.7,83.1,5.0,26.9,30.9,24.0
1985,10,Oct,21,30.2,169.0,84.7,4.1,26.7,30.6,23.9
1985,11,Nov,21,38.2,179.4,85.0,4.1,26.6,31.1,23.8
1985,12,Dec,22,86.8,340.1,86.2,4.6,26.1,30.2,23.7
1986,1,Jan,13,95.6,308.2,83.9,3.9,25.7,29.3,23.4
1986,2,Feb,2,23.0,26.7,78.4,7.2,26.9,31.9,23.9
1986,3,Mar,17,71.1,353.4,86.6,4.6,26.4,30.5,24.1
1986,4,Apr,14,56.4,150.0,85.3,6.2,27.4,31.7,24.7
1986,5,May,13,51.3,145.1,81.8,6.1,28.2,31.8,25.4
