graph_id,chart_type,image_height,image_width,chart_value
0000ae6cbdb1,vertical_bar,281,466,0
0003a50817cf,line,480,640,1
0005413054c9,line,282,470,1
0005e64fdc6e,scatter,347,491,2
000614d3eab6,line,550,800,1
000631f33080,scatter,287,497,2
000917f5d829,dot,313,512,3
000944919c5c,dot,294,500,3
000a2d157ea1,line,302,502,1
000b92c3b098,line,385,505,1
000cd10b6cda,line,480,640,1
000d269c8e26,line,480,640,1
000e8130e62a,vertical_bar,267,466,0
000ec434b697,line,271,475,1
0011bb0573da,vertical_bar,349,497,0
001221641993,line,331,480,1
001228841945,line,440,640,1
0012c90f0929,vertical_bar,323,486,0
0017c99920ac,dot,264,503,3
001b86c6bb92,line,281,464,1
001d53f5186d,line,480,640,1
001e6d987ff5,line,293,499,1
001f896fb543,scatter,279,462,2
00232e17e8e3,line,304,477,1
00238a366b66,line,277,464,1
00261ed70def,vertical_bar,285,474,0
00265d60ca8e,line,314,479,1
0028bfc337d3,vertical_bar,281,473,0
002a30c7f50d,vertical_bar,270,468,0
002b6b51c9f1,line,275,479,1
002bcf154c3d,dot,355,512,3
002c269c9348,line,345,478,1
002f2f9fe7a0,vertical_bar,351,493,0
00307303b850,vertical_bar,286,500,0
00315ad26669,vertical_bar,280,470,0
003448490d96,scatter,254,463,2
00350bf878f9,vertical_bar,332,502,0
003559e94816,dot,300,512,3
00359013d708,line,480,640,1
0035ddf514a4,line,480,640,1
003645ee00b3,scatter,280,493,2
0037b0c67410,dot,296,512,3
00381685a6bf,line,480,640,1
0038523a876f,vertical_bar,299,494,0
00385c9957bc,line,480,640,1
0039c94fa875,scatter,303,505,2
003ba2753d31,vertical_bar,311,490,0
003c5f68d03c,line,480,640,1
003e81b2b2eb,scatter,284,500,2
003e852352bb,line,281,469,1
003f04b79fa1,line,365,512,1
0042a14962ca,vertical_bar,278,471,0
0045659a08df,line,302,483,1
0045b0778040,vertical_bar,273,470,0
0045fa6e26a7,line,272,470,1
00475cba2e2c,line,480,640,1
0048cf166cd2,vertical_bar,360,496,0
004a983eee9f,line,278,489,1
004e0b6bffd9,line,277,481,1
004e7e62fc31,line,278,467,1
004ed79ef8d2,vertical_bar,263,482,0
004f0e75b1d5,vertical_bar,317,498,0
004f1730f1b7,line,271,466,1
00511c0df1ee,line,298,488,1
00534e0db796,vertical_bar,283,465,0
005559e9d574,scatter,268,467,2
0055bcadaffd,vertical_bar,287,476,0
0056667e465a,vertical_bar,278,462,0
005671761b8c,scatter,278,470,2
00580ca10a8e,scatter,293,496,2
00590a5c5e05,vertical_bar,374,494,0
005ac2095e89,vertical_bar,279,461,0
005ca2f8efe8,line,480,640,1
005d3e0aee89,line,390,510,1
005da037e863,line,276,479,1
005e16c3c05c,dot,276,516,3
005e2fd7d2af,line,550,800,1
005fb05d6812,vertical_bar,299,507,0
006069601760,dot,302,512,3
0061008e1578,line,480,640,1
00629d0a3135,vertical_bar,290,496,0
006321dc9c02,line,302,501,1
0065324ab5ca,dot,290,500,3
006533fc4e41,vertical_bar,282,475,0
006548593912,scatter,327,506,2
006716f54121,scatter,278,468,2
006875a04b2e,vertical_bar,276,488,0
006949a93d1b,vertical_bar,336,488,0
00698c364fbf,vertical_bar,263,484,0
006e0e023f87,scatter,295,504,2
006feae29eb1,line,295,481,1
007144325428,dot,290,500,3
007185ff1196,scatter,288,487,2
00718d9651aa,line,269,461,1
00731d176ae5,dot,299,512,3
0073a63e8435,vertical_bar,275,467,0
0073ac9cd239,scatter,271,485,2
0074efcd0738,line,880,1280,1
00750c732d8a,line,480,640,1
007592e4d2f1,vertical_bar,272,463,0
0076384b8388,line,269,498,1
007861110c05,line,480,640,1
007992f65ca2,scatter,278,468,2
0079be81068f,vertical_bar,272,460,0
007a18eb4e09,line,390,512,1
007e9dad7ec6,vertical_bar,313,489,0
0080d99694de,line,288,503,1
0082f3898c39,vertical_bar,351,492,0
00845c9b6f6b,line,333,509,1
00846eff2b99,line,318,494,1
0084f99d155e,dot,296,512,3
008720519331,scatter,306,499,2
00896700995e,vertical_bar,305,496,0
0089ad17c485,vertical_bar,277,483,0
0089b7ddf2a6,vertical_bar,355,499,0
008c5fc9b55a,scatter,262,467,2
008e63a5df54,vertical_bar,282,518,0
008e7353be7e,vertical_bar,318,482,0
008f51201419,line,480,640,1
0090985185ee,vertical_bar,281,500,0
009133e009df,line,480,640,1
0091956b68fb,line,278,470,1
0092cc24f694,line,295,475,1
00931906dc0f,vertical_bar,276,468,0
009385391ced,line,276,510,1
0094a5ce0d99,line,480,640,1
0094c646f19e,line,299,482,1
00955e6d9992,vertical_bar,271,464,0
0096cda59bb6,scatter,313,479,2
009859751b61,scatter,302,507,2
00998a4aa7b4,line,480,640,1
009a9c1ee5b3,scatter,282,476,2
009d0c158a03,vertical_bar,316,500,0
009d94212e98,line,303,476,1
009e4d2ffe81,vertical_bar,283,497,0
009fb9b963c6,line,314,485,1
00a0b5dffdcb,line,480,640,1
00a250f9e02d,vertical_bar,358,499,0
00a4f0456f48,vertical_bar,274,471,0
00a5d76cb78d,scatter,279,468,2
00a68f5c2a93,line,480,640,1
00a7fa12bca0,vertical_bar,268,461,0
00a94d26947a,vertical_bar,278,473,0
00ade5dc4f7a,scatter,279,474,2
00ae5cc822f0,dot,299,512,3
00ae83d6da37,vertical_bar,270,467,0
00afd211bdf8,vertical_bar,279,465,0
00b069bbb9c3,line,325,497,1
00b1597b6970,dot,289,512,3
00b1e494f8cc,line,276,466,1
00b319b5f0f0,line,385,508,1
00b3491f7740,line,880,1280,1
00b423fdeea5,scatter,308,505,2
00b622aba245,line,279,463,1
00b646ba3d61,vertical_bar,350,499,0
00b66b4991f9,line,279,466,1
00b71c36e39d,line,480,640,1
00b84ec4a0bb,line,272,472,1
00b876718fb1,line,280,471,1
00bb9bdb8fba,vertical_bar,297,495,0
00bbf8782377,line,294,475,1
00bc607d6b28,scatter,317,497,2
00bcc6016bee,line,550,800,1
00bde1b02364,scatter,280,460,2
00bfc32b8c05,line,480,640,1
00c23751b1af,line,281,466,1
00c2d550d3b1,vertical_bar,275,468,0
00c461cc3116,line,340,486,1
00c4bbc9b1c3,line,285,509,1
00c4cc024034,line,279,468,1
00c54fe792f3,scatter,345,490,2
00c6ddd4003e,vertical_bar,332,464,0
00c73795f795,line,285,497,1
