graph_id,chart_type,image_height,image_width,chart_value
c80539485b6a,vertical_bar,314,498,0
c72ab56084d2,vertical_bar,296,512,0
c815bc413a7f,vertical_bar,281,470,0
c7ceca90645d,vertical_bar,318,481,0
c7bfd9d24906,vertical_bar,268,465,0
c7aa2b10d35e,vertical_bar,341,471,0
c925cabcfa5c,vertical_bar,291,466,0
c92f6c513a81,vertical_bar,281,475,0
c9017d9a19ca,vertical_bar,288,478,0
c98877b63d77,vertical_bar,300,493,0
c94b5fd3df23,vertical_bar,297,497,0
c776ef9ad888,vertical_bar,280,473,0
c77fe9be36cc,vertical_bar,277,467,0
a859414ee298,vertical_bar,271,482,0
a85aba081a8f,vertical_bar,349,495,0
a8675e49844c,vertical_bar,307,475,0
a874eee60292,vertical_bar,274,485,0
a6548be3357c,vertical_bar,281,468,0
a6751448b846,vertical_bar,288,500,0
a8202a890335,vertical_bar,271,467,0
a73340f74059,vertical_bar,282,468,0
a62ee082598f,vertical_bar,270,462,0
a63c7576b201,vertical_bar,347,497,0
a84bc428e909,vertical_bar,359,501,0
a7d1e9db6a96,vertical_bar,285,492,0
a79a66665db6,vertical_bar,266,459,0
a79ccc2d34dd,vertical_bar,303,504,0
a7aaa65baadf,vertical_bar,282,470,0
a78011233cc7,vertical_bar,299,512,0
a7d6b14c9377,vertical_bar,358,494,0
c9736ff6623f,vertical_bar,278,464,0
c676276ebaf1,vertical_bar,364,497,0
c6a31469cb75,vertical_bar,277,466,0
c67a85845ddb,vertical_bar,352,484,0
c681afe64015,vertical_bar,275,467,0
c661c548f8dc,vertical_bar,273,468,0
c65ca20d35e9,vertical_bar,309,497,0
c6ba7a16c7d4,vertical_bar,275,466,0
c61481c94b9f,vertical_bar,288,493,0
c5a725d5a978,vertical_bar,279,500,0
c6001bdf923b,vertical_bar,323,505,0
c6064ee2faeb,vertical_bar,288,465,0
c6a73a787344,vertical_bar,361,489,0
c4155592c794,vertical_bar,279,463,0
c8db26140f4a,vertical_bar,269,464,0
c8a1a1b94530,vertical_bar,286,511,0
c86f1ede3495,vertical_bar,250,469,0
c8505f4c957e,vertical_bar,355,499,0
c8524539517c,vertical_bar,352,498,0
c88817cd905c,vertical_bar,299,507,0
c86e6a5225cd,vertical_bar,295,500,0
c87154502a47,vertical_bar,287,469,0
c87334e629b3,vertical_bar,299,497,0
c879058f939e,vertical_bar,276,492,0
c4b7ca5b03c8,vertical_bar,278,470,0
c5555feb2788,vertical_bar,285,474,0
c572e4988bae,vertical_bar,282,474,0
c42748c5a92c,vertical_bar,307,512,0
c43579e77ffa,vertical_bar,299,511,0
c578ff93c44b,vertical_bar,273,471,0
c4ecd3d4fa0d,vertical_bar,301,511,0
a620ca79a642,vertical_bar,277,465,0
a1b32263b142,vertical_bar,279,469,0
a20ee89274ce,vertical_bar,282,472,0
a2164a3739c8,vertical_bar,385,510,0
a1e32437ef8a,vertical_bar,268,465,0
9fd963cf8c0d,vertical_bar,299,507,0
9fe0ef18d1a1,vertical_bar,273,466,0
a0e007719021,vertical_bar,297,502,0
a0d060a72989,vertical_bar,338,465,0
a15b2730fb4b,vertical_bar,297,505,0
a16b82fa62c0,vertical_bar,282,479,0
a168c4e425ff,vertical_bar,328,483,0
a98bfe7505fe,vertical_bar,296,474,0
a10ed36bbb77,vertical_bar,264,473,0
a11ceb0b56f0,vertical_bar,333,502,0
a0fc5c3c1954,vertical_bar,290,479,0
a4cca4519591,vertical_bar,352,496,0
a063961c3cc3,vertical_bar,274,482,0
a4ed1ea68181,vertical_bar,297,505,0
a45dbe2a7882,vertical_bar,287,469,0
a4561b9243c8,vertical_bar,276,467,0
a4563522ddfd,vertical_bar,285,493,0
9f921610dc0d,vertical_bar,275,475,0
9fc60795933e,vertical_bar,299,500,0
9f9122bfd00e,vertical_bar,271,481,0
9f64b72f3783,vertical_bar,300,504,0
a0896ba1ddba,vertical_bar,265,458,0
a08a03a0d6d1,vertical_bar,297,510,0
a01b459441d4,vertical_bar,261,484,0
a025eae5792a,vertical_bar,303,504,0
a093b295734b,vertical_bar,286,475,0
a09d495a9179,vertical_bar,300,496,0
aa82cb3d9618,vertical_bar,278,470,0
a6e1d3194400,vertical_bar,298,503,0
aa58185d2d37,vertical_bar,309,512,0
aa38f502386e,vertical_bar,283,476,0
aab4f5dce92b,vertical_bar,297,494,0
ab20afca888c,vertical_bar,275,468,0
ab262d24665c,vertical_bar,289,493,0
aa42f0e42837,vertical_bar,350,498,0
a607296f59e6,vertical_bar,282,471,0
a5de882f14b3,vertical_bar,276,467,0
a5d5dd2a4eaa,vertical_bar,277,467,0
a6934ed9a137,vertical_bar,312,495,0
a69a34adbdbc,vertical_bar,277,473,0
a6f3bd86e91d,vertical_bar,280,491,0
a712982bc486,vertical_bar,315,508,0
a71c31e29bdf,vertical_bar,347,497,0
a71c4a1ff29a,vertical_bar,289,464,0
a71d35b205fe,vertical_bar,268,461,0
a8b4958d3114,vertical_bar,274,492,0
a8cdf94a2f57,vertical_bar,300,502,0
a9c8e1b527a5,vertical_bar,272,466,0
a8d23187fa29,vertical_bar,288,488,0
a888381605c4,vertical_bar,305,501,0
a89bdc27d6c4,vertical_bar,280,469,0
a94fecbcc3aa,vertical_bar,299,499,0
a95fffcd699e,vertical_bar,276,470,0
a9c4e76c486d,vertical_bar,281,473,0
ab1907aacc83,vertical_bar,352,497,0
a929c08108b9,vertical_bar,267,512,0
a8f14ff3b1c9,vertical_bar,279,472,0
a9f2b099b31e,vertical_bar,281,469,0
cdb6295f9bf3,vertical_bar,279,488,0
ba19de804cc1,vertical_bar,284,474,0
b7edbd4b5e6a,vertical_bar,278,470,0
b7f37cebc51a,vertical_bar,285,469,0
b9d5453e82b1,vertical_bar,341,500,0
b9ddb4965c91,vertical_bar,358,495,0
b9e59e3041d7,vertical_bar,298,512,0
b9fbcbeaf9fd,vertical_bar,277,473,0
b7fc220cf677,vertical_bar,284,483,0
b83920e8aa79,vertical_bar,282,468,0
b807cfddead7,vertical_bar,316,489,0
b83174cca7ec,vertical_bar,228,470,0
b907a5961f08,vertical_bar,294,482,0
b92358b4edf5,vertical_bar,306,496,0
b9796feaef38,vertical_bar,334,513,0
b9a00d532637,vertical_bar,280,467,0
b9be190d932c,vertical_bar,278,466,0
b9d030c6ec85,vertical_bar,307,496,0
b9496a1b7864,vertical_bar,263,483,0
ba577acd4941,vertical_bar,292,489,0
ba5899001d02,vertical_bar,269,473,0
ba3f6ed95aed,vertical_bar,254,480,0
ba42b4874c51,vertical_bar,336,466,0
bc0b264a502f,vertical_bar,343,469,0
bc278383d3c4,vertical_bar,298,495,0
bc32d5715292,vertical_bar,312,494,0
bc41e7c219b0,vertical_bar,298,495,0
bccbd07b28ef,vertical_bar,277,465,0
bccf48cfd297,vertical_bar,359,498,0
bcd89c25efc6,vertical_bar,359,499,0
bcc63cdbd73e,vertical_bar,273,467,0
bc11619b5fba,vertical_bar,272,479,0
b8c8d6e18d5b,vertical_bar,275,466,0
b8ba0470affa,vertical_bar,330,506,0
b8d3feb12b2c,vertical_bar,321,496,0
b8df97f1e108,vertical_bar,271,468,0
b7d2a129d9de,vertical_bar,265,478,0
b7dcc7f5ed49,vertical_bar,275,465,0
b8faf0a7d4de,vertical_bar,300,496,0
b8ad947d162c,vertical_bar,288,494,0
b8a92ec7038f,vertical_bar,346,484,0
b8499460c252,vertical_bar,302,500,0
b85732ae930a,vertical_bar,295,500,0
b85e21236dc9,vertical_bar,281,468,0
b85e34a237d6,vertical_bar,283,504,0
b8641862795e,vertical_bar,354,502,0
b98bb98e34cd,vertical_bar,272,464,0
c275a01a4d14,vertical_bar,301,504,0
c2918735321e,vertical_bar,354,498,0
c25af493d8b4,vertical_bar,286,479,0
c2f6a3d6407e,vertical_bar,338,497,0
c3c56e483f07,vertical_bar,277,472,0
c3e137b26392,vertical_bar,285,498,0
c38f6a75d941,vertical_bar,274,467,0
c3b000b57875,vertical_bar,272,468,0
beac029daadf,vertical_bar,286,475,0
bdf7f532e228,vertical_bar,359,501,0
bdfa98bfe265,vertical_bar,282,494,0
be7ff78aac44,vertical_bar,333,500,0
be1c937cc8f0,vertical_bar,273,469,0
be545b42fe59,vertical_bar,274,469,0
be5c7ee64b51,vertical_bar,279,469,0
c381ca8f217e,vertical_bar,281,502,0
c23db3870ffd,vertical_bar,295,504,0
c23ed7a24ebb,vertical_bar,256,465,0
c2425c45a3ac,vertical_bar,318,508,0
c23eae2fe3e9,vertical_bar,316,489,0
c21a5df458f3,vertical_bar,271,496,0
c2044ab40948,vertical_bar,281,488,0
c203b4b65c90,vertical_bar,275,469,0
c2029532b6f5,vertical_bar,276,465,0
c1d22a36e272,vertical_bar,284,497,0
c1f778a0873d,vertical_bar,291,474,0
bcf921ee3ab7,vertical_bar,259,481,0
c1bab9a87d83,vertical_bar,274,460,0
c1c0fcf9c397,vertical_bar,278,466,0
c1d01dd0bd26,vertical_bar,269,462,0
c200428be0b2,vertical_bar,354,505,0
c1df44ccb713,vertical_bar,278,467,0
c12848610738,vertical_bar,304,500,0
c32df1efc5c0,vertical_bar,292,477,0
c367abf84ee6,vertical_bar,335,463,0
c165b818ebb5,vertical_bar,297,504,0
c1269d6eb64d,vertical_bar,298,495,0
c11c457ab78b,vertical_bar,283,472,0
c1887e896667,vertical_bar,261,497,0
c14da23d20f9,vertical_bar,290,493,0
ce9e66925d50,vertical_bar,281,489,0
ce937fdb61b9,vertical_bar,262,473,0
ce36477b086b,vertical_bar,349,499,0
cf466b43e3ca,vertical_bar,304,498,0
cf4ad46976f6,vertical_bar,333,477,0
cf6145c9c55c,vertical_bar,306,477,0
ce520cff8b03,vertical_bar,269,467,0
ce58213d1b59,vertical_bar,331,503,0
cc6f042d4b90,vertical_bar,282,471,0
cadfa38aaf83,vertical_bar,276,471,0
caef93a642a6,vertical_bar,272,479,0
cb0fdea79076,vertical_bar,361,480,0
c9d31a2aa46d,vertical_bar,297,491,0
ca889598e789,vertical_bar,284,473,0
ca9e442fad84,vertical_bar,293,490,0
cabc2baaa3c5,vertical_bar,273,467,0
ca5d816d183f,vertical_bar,277,464,0
ca6ec36d5331,vertical_bar,293,504,0
cde3e4f193ce,vertical_bar,293,488,0
cde4fd889313,vertical_bar,340,488,0
cd4db00fd0c1,vertical_bar,279,479,0
ccb84ede11ea,vertical_bar,282,505,0
ccbbc75c1e16,vertical_bar,292,489,0
ccdd73cf19f3,vertical_bar,305,470,0
ce00904a265f,vertical_bar,300,482,0
cd7ee94cfd9f,vertical_bar,324,500,0
cd9f3664de8f,vertical_bar,273,464,0
cdae24bee611,vertical_bar,270,477,0
cc8dd40be06b,vertical_bar,316,498,0
cf3713b188e8,vertical_bar,270,469,0
cf27477c24ab,vertical_bar,305,503,0
cefb4442476b,vertical_bar,282,467,0
ce2599b6fe29,vertical_bar,271,466,0
cd4a6b2be874,vertical_bar,268,495,0
ccac725ec65e,vertical_bar,289,512,0
cc814b7ccf4b,vertical_bar,358,499,0
ccee36f4a5e4,vertical_bar,272,464,0
ccf54364ef53,vertical_bar,353,498,0
cd07e4302d07,vertical_bar,262,481,0
c9ae7b6d0b23,vertical_bar,359,502,0
bb72622eb553,vertical_bar,274,468,0
babe6bb66820,vertical_bar,296,487,0
bb345617a982,vertical_bar,275,467,0
bac01605b48b,vertical_bar,281,467,0
bb1806eae95c,vertical_bar,287,502,0
bafcbc6db2ff,vertical_bar,339,500,0
bb0d27b76759,vertical_bar,288,481,0
bc5f4a9bd877,vertical_bar,304,495,0
bc69ff127b74,vertical_bar,274,501,0
bc76d5cd8327,vertical_bar,276,462,0
bacab1dc67da,vertical_bar,277,473,0
baca8aca0390,vertical_bar,280,468,0
ba78bc38cd3b,vertical_bar,280,462,0
baf3eda4bc86,vertical_bar,333,504,0
ba9c124e536d,vertical_bar,287,475,0
bae476da8560,vertical_bar,294,501,0
bae9cb4f27e5,vertical_bar,291,493,0
baf0dd915e0f,vertical_bar,299,500,0
cb6437d54045,vertical_bar,293,495,0
cbf87be2e895,vertical_bar,269,461,0
cc0535718576,vertical_bar,273,468,0
cb14b639ad21,vertical_bar,278,480,0
cc6043b42c20,vertical_bar,272,476,0
cbadd50715bf,vertical_bar,278,464,0
cbb8e8e3aaf4,vertical_bar,278,485,0
cbb972a186cf,vertical_bar,352,501,0
ca2e91a48138,vertical_bar,273,464,0
c9e7f9c3c55c,vertical_bar,278,502,0
cb63118ef45c,vertical_bar,277,468,0
cb5777df91dd,vertical_bar,259,479,0
cb1f451a61ef,vertical_bar,269,462,0
cb91a4c0bf3a,vertical_bar,304,507,0
cc196005a0a6,vertical_bar,291,496,0
cc44107acf99,vertical_bar,282,471,0
cb3319363bbb,vertical_bar,277,470,0
cb42d7ab84c3,vertical_bar,289,504,0
cb4e416bb629,vertical_bar,238,417,0
cbaafa7b96f3,vertical_bar,319,487,0
eab6dad0c1c5,vertical_bar,274,469,0
ead3ee45ea84,vertical_bar,300,491,0
ead4eda0a7ed,vertical_bar,293,502,0
eaa69e64a9b4,vertical_bar,262,484,0
e9dd5f400680,vertical_bar,297,512,0
e9ebd9cf7b00,vertical_bar,279,468,0
ea4594c6654b,vertical_bar,293,511,0
ea56dd4c5e56,vertical_bar,279,464,0
ea9b91ba6695,vertical_bar,291,500,0
eaebe1041e44,vertical_bar,359,502,0
ea7086450b63,vertical_bar,275,468,0
ea6fa65e18ac,vertical_bar,284,461,0
ea8f3989276c,vertical_bar,294,504,0
ea6d8a76775f,vertical_bar,349,498,0
ea6119363e4a,vertical_bar,331,507,0
ea6314b039b7,vertical_bar,259,471,0
eaea20f177bb,vertical_bar,281,472,0
e9ecfc6d1745,vertical_bar,307,499,0
f1d8925cfede,vertical_bar,300,496,0
f1d03317a1a0,vertical_bar,349,496,0
e9d1511ab0e7,vertical_bar,292,512,0
e998ebe45fc9,vertical_bar,328,504,0
e999f4d4ec95,vertical_bar,284,506,0
e99ae2df1afc,vertical_bar,276,467,0
ea3430862ee2,vertical_bar,289,478,0
ea21b0dd8fcd,vertical_bar,381,494,0
e9175428ea8a,vertical_bar,304,504,0
e933a325e743,vertical_bar,273,474,0
e97a0da21814,vertical_bar,354,499,0
e904f4122f30,vertical_bar,289,499,0
e909fa91cfe9,vertical_bar,319,512,0
eaffd614bd49,vertical_bar,275,473,0
ecd8e3a652f5,vertical_bar,299,512,0
ed06ee749900,vertical_bar,292,482,0
ed0728a5d2d9,vertical_bar,274,468,0
ed0c3b803f9c,vertical_bar,276,483,0
ecd8a8f68dd3,vertical_bar,239,499,0
eca6af6bcd15,vertical_bar,289,512,0
ecfc4032c727,vertical_bar,272,465,0
e8df56d9ef0c,vertical_bar,333,466,0
e8e3bd3c5c18,vertical_bar,287,494,0
e8dcb45b067f,vertical_bar,294,509,0
e8422a2e3885,vertical_bar,289,460,0
e850aa6e063b,vertical_bar,281,470,0
e8d078662348,vertical_bar,286,567,0
e8a157b2a1dc,vertical_bar,282,485,0
e8b15aa9db9a,vertical_bar,304,507,0
e93ecae5860d,vertical_bar,279,471,0
e941d04b9c64,vertical_bar,275,466,0
e95671475cf0,vertical_bar,285,520,0
e9647e86b07b,vertical_bar,285,474,0
e965b109ae2d,vertical_bar,288,493,0
e872cbcb40f9,vertical_bar,270,462,0
e8750c333d02,vertical_bar,356,499,0
e88a1155cb53,vertical_bar,284,506,0
e88e4d4d0659,vertical_bar,280,471,0
f0e240a8c094,vertical_bar,345,495,0
f2b333d33fd7,vertical_bar,297,496,0
f28aea35fc7f,vertical_bar,284,500,0
f2b25dc528ac,vertical_bar,331,505,0
f2f7e28c07d1,vertical_bar,281,484,0
ede65a1a8f82,vertical_bar,350,479,0
ede882ecc2c4,vertical_bar,255,480,0
edf485c5f517,vertical_bar,350,498,0
edfeb65c3091,vertical_bar,268,463,0
ee4c15b80524,vertical_bar,351,500,0
ee64b44f6596,vertical_bar,267,472,0
