epoch,accuracy,loss,val_accuracy,val_loss
0,0.897430122,2.06491375,0.980978251,0.06900993
1,0.983318329,0.05172893,0.987092376,0.042879686
2,0.983769178,0.05284455,0.985733688,0.035811912
3,0.984670877,0.047278311,0.974864125,0.075393468
4,0.989179432,0.037149213,0.979619563,0.07009577
5,0.983092904,0.048032265,0.990489125,0.027482575
6,0.989179432,0.037103314,0.986413062,0.033934236
7,0.988052309,0.030778762,0.978260875,0.061034013
8,0.988728583,0.03369458,0.987771749,0.065264285
9,0.988277733,0.036544669,0.983695626,0.042819593
10,0.990081131,0.028287953,0.984375,0.047771692
